Hostname,Group,Subject,ID,Sex,Age,Race,Time,Phase,Trial,S1,S1Duration,S1On,S2,S2Duration,S2On,S2Prob,Response,RT,S2Pres,Key
helix,1,8,NA,NA,NA,NA,3587,Start,1,ITI,1754.46,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,8,NA,NA,NA,NA,5037,Start,1,Start,600000,T,NA,NA,F,NA,<space>,NA,F,<space>
helix,1,8,NA,NA,NA,NA,5459,Test,1,ITI,387.926,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,8,NA,NA,NA,NA,5956,Test,1,Gray,1000,T,NA,NA,F,NA,<space>,494,F,<space>
helix,1,8,NA,NA,NA,NA,7424,Test,2,ITI,1452.2,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,8,NA,NA,NA,NA,7657,Test,2,White,1000,T,NA,NA,F,NA,<space>,230,F,<space>
helix,1,8,NA,NA,NA,NA,8223,Test,3,ITI,546.289,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,8,NA,NA,NA,NA,8447,Test,3,Gray,1000,T,NA,NA,F,NA,<space>,220,F,<space>
helix,1,8,NA,NA,NA,NA,9711,Test,4,ITI,1248.95,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,8,NA,NA,NA,NA,9924,Test,4,White,1000,T,NA,NA,F,NA,<space>,208,F,<space>
helix,1,8,NA,NA,NA,NA,10734,Test,5,ITI,794.646,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,8,NA,NA,NA,NA,10953,Test,5,Gray,1000,T,NA,NA,F,NA,<space>,216,F,<space>
helix,1,8,NA,NA,NA,NA,12786,Test,6,ITI,1817.1,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,8,NA,NA,NA,NA,13005,Test,6,White,1000,T,NA,NA,F,NA,<space>,216,F,<space>
helix,1,8,NA,NA,NA,NA,14040,Test,7,ITI,1019.22,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,8,NA,NA,NA,NA,14251,Test,7,Gray,1000,T,NA,NA,F,NA,<space>,207,F,<space>
helix,1,8,NA,NA,NA,NA,16052,Test,8,ITI,1781.07,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,8,NA,NA,NA,NA,16287,Test,8,Gray,1000,T,NA,NA,F,NA,<space>,231,F,<space>
helix,1,8,NA,NA,NA,NA,17503,Test,9,ITI,1198.59,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,8,NA,NA,NA,NA,17709,Test,9,White,1000,T,NA,NA,F,NA,<space>,203,F,<space>
helix,1,8,NA,NA,NA,NA,19711,Test,10,ITI,1981.34,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,8,NA,NA,NA,NA,19930,Test,10,White,1000,T,NA,NA,F,NA,<space>,215,F,<space>
helix,1,8,NA,NA,NA,NA,21072,End,1,ITI,1121.72,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,8,NA,NA,NA,NA,22929,End,1,End,600000,T,NA,NA,F,NA,<space>,NA,F,q
