Hostname,Group,Subject,ID,Sex,Age,Race,Time,Phase,Trial,S1,S1Duration,S1On,S2,S2Duration,S2On,S2Prob,Response,RT,S2Pres,Key
helix,1,7,NA,NA,NA,NA,3334,Start,1,ITI,1154.32,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,7,NA,NA,NA,NA,4604,Start,1,Start,600000,T,NA,NA,F,NA,<space>,NA,F,<space>
helix,1,7,NA,NA,NA,NA,6311,Test,1,ITI,1673.83,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,7,NA,NA,NA,NA,6915,Test,1,Circle,1000,T,NA,NA,F,NA,<space>,601,F,<space>
helix,1,7,NA,NA,NA,NA,8764,Test,2,ITI,1833.11,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,7,NA,NA,NA,NA,8968,Test,2,Circle,1000,T,NA,NA,F,NA,<space>,201,F,<space>
helix,1,7,NA,NA,NA,NA,10294,Test,3,ITI,1310.17,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,7,NA,NA,NA,NA,10492,Test,3,Circle,1000,T,NA,NA,F,NA,<space>,195,F,<space>
helix,1,7,NA,NA,NA,NA,11977,Test,4,ITI,1470.36,T,NA,NA,F,NA,NA,1469,F,<space>
helix,1,7,NA,NA,NA,NA,12511,Test,4,Circle,1000,T,NA,NA,F,NA,<space>,528,F,<space>
helix,1,7,NA,NA,NA,NA,13469,Test,5,ITI,942.068,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,7,NA,NA,NA,NA,13677,Test,5,Circle,1000,T,NA,NA,F,NA,<space>,205,F,<space>
helix,1,7,NA,NA,NA,NA,14139,Test,6,ITI,446.693,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,7,NA,NA,NA,NA,14370,Test,6,Circle,1000,T,NA,NA,F,NA,<space>,227,F,<space>
helix,1,7,NA,NA,NA,NA,16070,Test,7,ITI,1682.58,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,7,NA,NA,NA,NA,16246,Test,7,Circle,1000,T,NA,NA,F,NA,<space>,173,F,<space>
helix,1,7,NA,NA,NA,NA,17665,Test,8,ITI,1403.56,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,7,NA,NA,NA,NA,17861,Test,8,Circle,1000,T,NA,NA,F,NA,<space>,193,F,<space>
helix,1,7,NA,NA,NA,NA,18916,Test,9,ITI,1039.37,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,7,NA,NA,NA,NA,19113,Test,9,Circle,1000,T,NA,NA,F,NA,<space>,194,F,<space>
helix,1,7,NA,NA,NA,NA,21069,Test,10,ITI,1940.52,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,7,NA,NA,NA,NA,21329,Test,10,Circle,1000,T,NA,NA,F,NA,<space>,257,F,<space>
helix,1,7,NA,NA,NA,NA,22858,End,1,ITI,1509.33,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,7,NA,NA,NA,NA,22899,End,1,End,600000,T,NA,NA,F,NA,<space>,38,F,<space>
