Hostname,Group,Subject,ID,Sex,Age,Race,Time,Phase,Trial,S1,S1Duration,S1On,S2,S2Duration,S2On,S2Prob,Response,RT,S2Pres,Key
helix,1,10,NA,NA,NA,NA,3519,Start,1,ITI,465.078,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,10,NA,NA,NA,NA,5279,Start,1,Start,600000,T,NA,NA,F,NA,<space>,1758,F,<space>
helix,1,10,NA,NA,NA,NA,6428,Test,1,ITI,1119.86,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,10,NA,NA,NA,NA,6733,Test,1,Circle,1000,T,NA,NA,F,NA,<space>,303,F,<space>
helix,1,10,NA,NA,NA,NA,8682,Test,2,ITI,1934.78,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,10,NA,NA,NA,NA,8890,Test,2,Circle,1000,T,NA,NA,F,NA,<space>,205,F,<space>
helix,1,10,NA,NA,NA,NA,10272,Test,3,ITI,1367.82,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,10,NA,NA,NA,NA,10486,Test,3,Circle,1000,T,NA,NA,F,NA,<space>,211,F,<space>
helix,1,10,NA,NA,NA,NA,11841,Test,4,ITI,1342.74,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,10,NA,NA,NA,NA,12052,Test,4,Circle,1000,T,NA,NA,F,NA,<space>,208,F,<space>
helix,1,10,NA,NA,NA,NA,12434,Test,5,ITI,367.595,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,10,NA,NA,NA,NA,12882,Test,5,Circle,1000,T,NA,NA,F,NA,<space>,445,F,<space>
helix,1,10,NA,NA,NA,NA,14327,Test,6,ITI,1432.19,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,10,NA,NA,NA,NA,14534,Test,6,Circle,1000,T,NA,NA,F,NA,<space>,205,F,<space>
helix,1,10,NA,NA,NA,NA,15110,Test,7,ITI,563.834,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,10,NA,NA,NA,NA,15340,Test,7,Circle,1000,T,NA,NA,F,NA,<space>,227,F,<space>
helix,1,10,NA,NA,NA,NA,17220,Test,8,ITI,1867.83,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,10,NA,NA,NA,NA,17457,Test,8,Circle,1000,T,NA,NA,F,NA,<space>,235,F,<space>
helix,1,10,NA,NA,NA,NA,18056,Test,9,ITI,586.678,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,10,NA,NA,NA,NA,18294,Test,9,Circle,1000,T,NA,NA,F,NA,<space>,236,F,<space>
helix,1,10,NA,NA,NA,NA,19687,Test,10,ITI,1379.76,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,10,NA,NA,NA,NA,19899,Test,10,Circle,1000,T,NA,NA,F,NA,<space>,210,F,<space>
helix,1,10,NA,NA,NA,NA,21456,End,1,ITI,1534.54,T,NA,NA,F,NA,NA,NA,F,<timeout>
helix,1,10,NA,NA,NA,NA,23482,End,1,End,600000,T,NA,NA,F,NA,<space>,2023,F,q
